acid,pmv,
PI399079,5,8
PI399080,5,8
PI399091,5,8
PI399092,5,8
PI399093,5,8
PI399094,5,8
PI399106,5,8
PI399112,5,8
PI399119,5,8
FC003654N,5,9
FC004002B,5,9
FC004002N,5,9
FC004007A,5,9
FC004007B,5,9
PI068609B,5,9
PI081029N,5,9
PI082312N,5,9
PI083881A,5,9
PI084669N,5,9
PI084683A,5,9
PI084987A,5,9
PI086138R,5,9
PI089061N,5,9
PI090479P,5,9
PI090495N,5,9
PI091108N,5,9
PI092641B,5,9
PI093565A,5,9
PI094159B,5,9
PI096169B,5,9
PI096194P,5,9
PI248509B,5,9
PI253650A,5,9
PI253650B,5,9
PI253651A,5,9
PI253651B,5,9
PI253651C,5,9
PI253652A,5,9
PI253652B,5,9
PI253653A,5,9
PI253653B,5,9
PI253656A,5,9
PI253656B,5,9
PI253660A,5,9
PI253660B,5,9
PI253661A,5,9
PI253661B,5,9
PI253661C,5,9
PI253665B,5,9
PI253665C,5,9
PI253665D,5,9
PI253666A,5,9
PI253666B,5,9
PI266085A,5,9
PI266085B,5,9
PI266085C,5,9
PI266806B,5,9
PI266806C,5,9
PI266806D,5,9
PI266807A,5,9
PI266807B,5,9
PI266807D,5,9
PI273483A,5,9
PI273483B,1,9
PI273483C,5,9
PI273483E,5,9
PI273483F,5,9
PI290126B,5,9
PI291274B,5,9
PI291293A,5,9
PI291293B,5,9
PI291302A,5,9
PI291302B,5,9
PI291302C,5,9
PI291303B,5,9
PI291306A,5,9
PI291309A,5,9
PI291309B,5,9
PI291309D,5,9
PI291310B,5,9
PI291310C,5,9
PI317334A,5,9
PI317334B,5,9
PI323586B,5,9
PI339868D,5,9
PI339868E,5,9
PI339868F,5,9
PI340021A,5,9
PI347539A,5,9
PI347539B,5,9
PI358317B,5,9
PI358318A,5,9
PI361062B,1,9
PI361065B,1,9
PI361112B,5,9
PI370057B,5,9
PI372404C,5,9
PI378664C,5,9
PI378669D,5,9
PI378670A,5,9
PI378670B,5,9
PI378682B,5,9
PI378682C,5,9
PI379559B,5,9
PI379559C,5,9
PI379559D,5,9
FC003654-1,5,10
FC019979-2,5,10
FC019979-3,5,10
FC019979-4,5,10
FC019979-5,5,10
FC019979-7,5,10
FC031572-3,5,10
PI054606-2,5,10
PI054608-1,5,10
PI054608-2,5,10
PI054608-3,5,10
PI054608-5,5,10
PI054610-1,5,10
PI054610-4,5,10
PI054615-1,5,10
PI054615-2,5,10
PI054620-2,5,10
PI055089-1,5,10
PI060269-2,5,10
PI060296-1,5,10
PI060296-2,5,10
PI068457-1,5,10
PI068461-1,5,10
PI068465-1,5,10
PI068475-1,5,10
PI068479-1,5,10
PI068484-1,5,10
PI068484-4,5,10
PI068521-1,5,10
PI068530-2,5,10
PI068533-1,5,10
PI068533-2,5,10
PI068551-2,5,10
PI068604-1,5,10
PI068670-1,5,10
PI068670-2,5,10
PI068679-2,5,10
PI068680-2,5,10
PI068692-2,5,10
PI068732-1,5,10
PI068748-1,5,10
PI068761-3,5,10
PI069507-1,5,10
PI070466-3,5,10
PI070466-4,5,10
PI070469-1,5,10
PI071850-1,5,10
PI079691-4,5,10
PI079732-3,5,10
PI079732-4,5,10
PI079825-1,5,10
PI079848-1,5,10
PI079862-1,5,10
PI079870-2,5,10
PI079870-4,5,10
PI079870-6,5,10
PI079874-1,5,10
PI080466-1,5,10
PI080466-2,5,10
PI080471-1,5,10
PI080488-1,5,10
PI080498-1,5,10
PI080828-1,5,10
PI080828-2,5,10
PI080834-1,5,10
PI080834-2,5,10
PI080844-2,5,10
PI080844-3,5,10
PI080845-1,5,10
PI080847-1,5,10
PI080847-2,5,10
PI081029-1,5,10
PI081030-1,5,10
PI081031-1,5,10
PI081031-2,5,10
PI081034-1,5,10
PI081034-2,5,10
PI081037-1,5,10
PI081037-2,5,10
PI081037-3,5,10
PI081037-5,5,10
PI081041-1,5,10
PI081044-1,5,10
PI082246-1,5,10
PI082263-1,5,10
PI082263-2,5,10
PI082263-3,5,10
PI083945-1,5,10
PI083945-4,5,10
PI084646-2,5,10
PI084673-1,5,10
PI084908-1,5,10
PI084908-2,5,10
PI084946-1,5,10
PI084957-1,5,10
PI084976-1,5,10
PI085009-1,5,10
PI085009-2,5,10
PI085420-1,5,10
PI086026-1,5,10
PI086078-1,5,10
PI086091-1,5,10
PI086112-1,5,10
PI086134-1,5,10
PI086134-2,5,10
PI086134-3,5,10
PI086134-4,5,10
PI086449-0,5,10
PI086449-2,5,10
PI086482-1,5,10
PI086490-2,1,10
PI086490-3,5,10
PI086490-4,5,10
PI086878-2,5,10
PI086903-3,5,10
PI086903-4,5,10
PI086972-1,5,10
PI086972-2,5,10
PI087465-2,5,10
PI087600-1,5,10
PI087600-2,5,10
PI087619-1,5,10
PI087620-1,5,10
PI087631-1,5,10
PI087631-3,5,10
PI088294-1,5,10
PI088295-1,5,10
PI088302-1,5,10
PI088302-2,5,10
PI088303-1,5,10
PI088306-1,5,10
PI088490-1,5,10
PI088803-1,5,10
PI088805-4,5,10
PI088998-1,5,10
PI088998-2,5,10
PI089002-2,5,10
PI089003-1,5,10
PI089003-2,5,10
PI089005-4,5,10
PI089005-5,5,10
PI089006-2,5,10
PI089012-1,5,10
PI089055-1,5,10
PI089056-2,5,10
PI089061-2,5,10
PI089061-3,5,10
PI089065-2,5,10
PI089154-1,5,10
PI089154-2,5,10
PI090406-1,5,10
PI090479-1,5,10
PI090490-2,5,10
PI090499-2,5,10
PI090566-1,5,10
PI090567-1,5,10
PI090576-1,5,10
PI091100-1,5,10
PI091100-2,5,10
PI091100-3,5,10
PI091100-4,5,10
PI091108-2,5,10
PI091120-2,5,10
PI091120-3,5,10
PI091121-1,5,10
PI091121-2,5,10
PI091132-2,5,10
PI091132-3,5,10
PI091153-1,5,10
PI091153-7,5,10
PI091159-4,5,10
PI091178-1,5,10
PI091725-2,5,10
PI091725-4,5,10
PI091730-1,5,10
PI091731-1,5,10
PI092601-1,5,10
PI092601-2,5,10
PI092601-5,5,10
PI092688-2,5,10
PI092707-2,5,10
PI092718-2,5,10
PI094159-3,5,10
PI096194-3,5,10
PI096786-1,5,10
